DIRECTORIO;SECUENCIA_P;SECUENCIA_ENCUESTA;P3053;P3095;P3096;P3097;P3098;P3054;P3055;P469;CLASE_TE;COD_DEPTO;AREA;F_EXP
5300531;1;3;1;2;;;;1;1;2;1;50;50;21.193262683601700
5300539;1;1;2;;1;;;1;3;1;1;17;17;23.678219040259000
5300539;1;2;3;;;1;;;;;1;17;17;23.678219040259000
5300541;1;1;2;;2;;;1;3;1;1;17;17;14.474186733754700
5300542;1;2;3;;;1;;;;;1;17;17;24.024621827278400
5300544;1;1;1;2;;;;1;3;2;1;17;17;21.744838257009700
5300545;1;1;1;2;;;;1;1;2;1;17;17;21.041920731713600
5300547;1;1;1;1;;;;1;3;2;1;15;15;10.706543982757000
5300549;1;1;3;;;1;;;;;1;15;15;9.383515734567080
5300551;1;2;1;1;;;;1;4;1;1;47;47;14.275763900321600
5300552;1;2;5;;;;;1;2;1;1;47;47;14.560824142458000
5300558;1;6;5;;;;;1;1;1;1;54;54;39.505939782166600
5300560;1;1;2;;1;;;1;3;1;1;54;54;38.286864495876000
5300561;1;1;4;;;;1;;;;1;54;54;38.286864495876000
5300563;1;1;5;;;;;1;3;1;1;52;52;14.185074480114000
5300564;1;1;2;;4;;;1;4;1;1;52;52;13.522925366979500
5300568;1;1;1;1;;;;1;3;1;1;23;23;25.459193568001900
5300569;1;1;5;;;;;1;2;2;1;23;23;34.090057283267500
5300570;1;1;2;;1;;;1;4;1;1;23;23;27.591232909346900
5300571;1;2;3;;;2;;;;;1;15;15;11.679320569714200
5300572;1;2;1;2;;;;1;1;1;1;23;23;8.522514320816910
5300573;1;2;1;2;;;;1;4;1;1;23;23;13.638969012165000
5300576;1;1;3;;;1;;;;;1;23;23;12.209536708374900
5300577;1;1;3;;;1;;;;;1;23;23;34.090057283267500
5300577;1;3;3;;;1;;;;;1;23;23;34.090057283267500
5300585;1;1;2;;1;;;1;3;1;1;41;41;49.710796280333200
5300587;1;1;3;;;1;;;;;1;47;47;16.169440618929500
5300588;1;1;1;1;;;;1;4;1;1;47;47;14.469117227530300
5300589;1;1;1;1;;;;1;1;1;1;47;47;10.931147121981400
5300596;1;1;4;;;;1;;;;1;17;17;19.112363215290500
5300600;1;1;7;;;;;1;1;1;1;17;17;19.863116829235200
5300600;1;3;1;1;;;;1;1;2;1;17;17;19.863116829235200
5300603;1;1;5;;;;;1;3;1;1;17;17;26.187721013888500
5300606;1;3;2;;1;;;1;3;1;1;52;52;13.054311052964100
5300607;1;1;5;;;;;1;3;1;1;52;52;15.076413474778200
5300607;1;2;1;1;;;;1;1;1;1;52;52;15.076413474778200
5300608;1;3;3;;;1;;;;;1;52;52;13.522925366979500
5300615;1;1;5;;;;;1;3;1;1;52;52;20.746295905133500
5300616;1;3;1;1;;;;1;1;1;1;52;52;7.473611877837120
5300618;1;2;5;;;;;1;1;1;1;52;52;17.382461228092000
5300618;1;3;4;;;;1;;;;1;52;52;17.382461228092000
5300619;1;1;1;2;;;;1;4;1;1;52;52;14.185074480114000
5300619;1;2;4;;;;1;;;;1;52;52;14.185074480114000
5300627;1;1;1;2;;;;1;1;2;1;23;23;8.522514320816910
5300629;1;2;4;;;;2;1;;1;1;23;23;21.207229484396500
5300638;1;3;2;;2;;;1;4;2;1;50;50;20.204866475908800
5300645;1;2;4;;;;2;1;;1;1;70;70;8.608755439209410
5300646;1;1;6;;;;;;;;1;70;70;10.118107846716000
5300659;1;1;4;;;;2;1;;1;1;19;19;7.520748175742610
5300667;1;3;2;;1;;;1;3;1;1;19;19;8.403309431893330
5300674;1;1;4;;;;1;;;;1;50;50;22.037751793955800
5300677;1;1;1;1;;;;1;4;1;1;50;50;27.904412100398100
5300681;1;1;1;1;;;;1;1;1;1;19;19;13.984471702830800
5300687;1;1;5;;;;;1;1;2;1;19;19;7.130283462879460
5300691;1;1;4;;;;1;;;;1;19;19;16.084859636531600
5300692;1;1;1;2;;;;1;4;2;1;15;15;10.489670819679300
5300693;1;1;3;;;1;;;;;1;19;19;16.248086487444800
5300696;1;1;4;;;;1;;;;1;19;19;15.607901846840000
5300703;1;1;2;;1;;;1;3;1;1;17;17;11.608170021848500
5300710;1;1;1;1;;;;1;3;1;1;52;52;17.747861660524500
5300712;1;1;6;;;;;;;;1;54;54;42.037240343722200
5300713;1;2;3;;;1;;;;;1;54;54;39.769616277274500
5300715;1;3;2;;1;;;1;4;1;1;54;54;51.246608953831000
5300727;1;3;3;;;1;;;;;1;63;63;12.353243476473700
5300731;1;1;1;2;;;;1;1;1;1;63;63;12.353227409295900
5300752;1;1;2;;4;;;1;4;1;1;52;52;7.030385627391110
5300756;1;2;1;1;;;;1;1;1;1;70;70;8.719496556073410
5300757;1;2;2;;3;;;1;3;1;1;52;52;14.391647722100800
5300763;1;1;1;2;;;;1;3;1;1;52;52;8.520885735216330
5300765;1;3;1;1;;;;1;1;1;1;52;52;3.965170190857600
5300765;1;5;2;;1;;;1;4;1;1;52;52;3.965170190857600
5300770;1;1;1;1;;;;1;1;1;1;76;;147.997316106803000
5300774;1;2;1;1;;;;1;2;2;1;52;52;17.085712547390000
5300775;1;1;1;1;;;;1;1;1;1;52;52;15.226242290605500
5300792;1;1;1;2;;;;1;6;2;1;05;05;92.541772246140000
5300793;1;1;4;;;;1;;;;1;05;05;84.116785336429100
5300793;1;2;1;2;;;;1;3;2;1;05;05;84.116785336429100
5300797;1;1;5;;;;;1;3;1;1;05;05;87.077353340739100
5300799;1;2;1;1;;;;1;1;1;1;54;54;37.661813867837500
5300800;1;1;6;;;;;;;;1;54;54;44.124283803982300
5300807;1;1;5;;;;;1;2;2;1;70;70;14.558295844064600
5300818;1;1;1;1;;;;1;3;1;1;68;68;50.228706996120800
5300820;1;1;3;;;1;;;;;1;68;68;42.938542076842500
5300823;1;1;1;1;;;;1;1;1;1;68;68;51.805825467895000
5300837;1;1;1;2;;;;1;3;1;1;20;20;22.408392819299900
5300843;1;1;2;;1;;;1;3;1;1;50;50;22.923207648356900
5300845;1;2;1;1;;;;1;1;1;1;50;50;22.430279924015500
5300846;1;1;3;;;1;;;;;1;50;50;55.808824200796300
5300856;1;1;2;;1;;;1;3;1;1;63;63;11.226221012128200
5300857;1;1;1;1;;;;1;3;1;1;63;63;13.147425411593000
5300857;1;3;1;1;;;;1;4;2;1;63;63;13.147425411593000
5300859;1;1;1;1;;;;1;2;2;1;63;63;14.328255356677200
5300866;1;1;1;2;;;;1;3;1;1;50;50;26.279191840348100
5300869;1;1;2;;1;;;1;3;1;1;50;50;27.246344050243700
5300873;1;1;2;;2;;;1;3;1;1;73;73;32.169655603461300
5300876;1;1;1;2;;;;1;1;2;1;05;05;90.321032041731600
5300880;1;1;6;;;;;;;;1;73;73;32.169655603461300
5300887;1;1;3;;;1;;;;;1;73;73;37.305383546259000
5300889;1;3;6;;;;;;;;1;73;73;19.091438147704300
5300894;1;1;6;;;;;;;;1;73;73;31.318609335236500
5300908;1;1;4;;;;2;1;;1;1;05;05;93.885086702373300
5300908;1;2;4;;;;1;;;;1;05;05;93.885086702373300
5300912;1;1;3;;;1;;;;;1;76;76;86.577749768980000
5300914;1;3;3;;;1;;;;;1;76;76;60.101254225295900
5300916;1;1;1;2;;;;1;4;2;1;76;76;75.465546965934700
5300921;1;2;3;;;2;;;;;1;76;76;94.498779301952500
5300925;1;2;1;1;;;;1;4;1;1;08;08;45.559176596117400
5300926;1;1;1;1;;;;1;4;1;1;08;08;53.127439418368300
5300929;1;1;3;;;1;;;;;1;08;08;60.872014837199000
5300931;1;1;1;1;;;;1;4;1;1;08;08;48.720462816680100
5300938;1;2;1;2;;;;1;1;1;1;05;05;92.069893495120000
5300946;1;2;1;2;;;;1;4;2;1;76;76;105.970639553854000
5300957;1;1;2;;2;;;1;3;1;1;88;88;4.578558041372470
5300968;1;1;4;;;;1;;;;1;50;50;27.225100052446400
5300971;1;2;1;2;;;;1;3;1;1;50;50;29.656620570413100
5300973;1;1;4;;;;1;;;;1;50;50;32.905376035278500
5300974;1;1;1;1;;;;1;1;1;1;50;50;30.787228050887000
5300976;1;1;6;;;;;;;;1;50;50;24.835211826299000
5300979;1;1;1;2;;;;1;1;1;1;50;50;23.109591971967200
5300981;1;2;5;;;;;1;2;1;1;50;50;29.071507795082000
5300985;1;1;1;2;;;;1;1;2;1;66;66;34.153498673508100
5300986;1;1;1;1;;;;1;1;2;1;66;66;26.577420764149300
5300986;1;2;1;2;;;;1;1;2;1;66;66;26.577420764149300
5300997;1;1;2;;1;;;1;3;1;1;66;66;36.604876707669400
5300998;1;1;2;;1;;;1;3;1;1;66;66;34.120630198902900
5301005;1;1;1;1;;;;1;1;2;1;66;66;36.604876707669400
5301006;1;1;2;;1;;;1;3;1;1;66;66;34.940832874492100
5301014;1;1;1;1;;;;1;2;1;1;66;66;35.784674032080100
5301032;1;1;1;2;;;;1;4;2;1;23;23;8.522514320816910
5301033;1;1;2;;2;;;1;5;1;1;23;23;8.522514320816910
5301037;1;1;2;;2;;;1;3;1;1;17;17;26.253798723260200
5301046;1;1;1;2;;;;1;4;1;1;23;23;8.522514320816910
5301052;1;1;3;;;1;;;;;1;05;05;101.279246620025000
5301057;1;1;1;2;;;;1;1;1;1;17;17;16.122366491342300
5301059;1;1;3;;;1;;;;;1;17;17;15.980348188589300
5301060;1;1;3;;;1;;;;;1;17;17;16.355908161529200
5301069;1;2;3;;;1;;;;;1;17;17;14.045175355077500
5301075;1;2;1;2;;;;1;4;1;1;23;23;23.726334966707400
5301076;1;4;1;2;;;;1;4;1;1;23;23;8.522514320816910
5301076;1;5;3;;;1;;;;;1;23;23;8.522514320816910
5301078;1;2;3;;;2;;;;;1;68;68;54.554556070705300
5301079;1;1;2;;4;;;1;1;1;1;68;68;50.127072324754100
5301081;1;2;4;;;;2;1;;2;1;68;68;53.674743326796500
5301082;1;1;1;2;;;;1;1;1;1;68;68;37.226513135867600
5301084;1;2;5;;;;;1;1;1;1;68;68;49.337623629525100
5301087;1;1;3;;;1;;;;;1;68;68;39.327220412438600
5301090;1;1;3;;;1;;;;;1;68;68;57.859207667969200
5301091;1;2;1;2;;;;1;3;2;1;68;68;48.983476243418800
5301110;1;1;2;;1;;;1;3;1;1;68;68;52.965864298069800
5301110;3;1;2;;1;;;1;3;1;1;68;68;52.965864298069800
5301114;1;1;5;;;;;1;1;1;1;68;68;62.081897725341400
5301115;1;1;2;;1;;;1;3;1;1;50;50;23.684216051803100
5301120;1;2;1;2;;;;1;1;2;1;23;23;19.737709694567800
5301121;1;5;1;2;;;;1;3;1;1;23;23;8.522514320816910
5301123;1;1;1;2;;;;1;4;1;1;23;23;20.015752907457500
5301123;1;2;3;;;1;;;;;1;23;23;20.015752907457500
5301124;1;1;5;;;;;1;1;1;1;23;23;21.207229484396500
5301125;1;1;1;1;;;;1;1;1;1;23;23;31.717045656671700
5301126;1;2;1;2;;;;1;4;2;1;23;23;23.099199491958000
5301127;1;1;2;;1;;;1;1;1;1;23;23;21.669767188167900
5301128;1;1;1;2;;;;1;3;1;1;20;20;17.281820567069500
5301129;1;3;3;;;1;;;;;1;20;20;20.771657620597100
5301136;1;1;4;;;;1;;;;1;50;50;17.101512670266800
5301136;1;2;4;;;;2;1;;1;1;50;50;17.101512670266800
5301138;1;1;3;;;1;;;;;1;50;50;22.818482943651700
5301141;1;1;5;;;;;1;3;2;1;20;20;23.207573977817500
5301144;1;1;4;;;;1;;;;1;20;20;27.422999866551500
5301145;1;1;4;;;;1;;;;1;20;20;19.075913948656000
5301168;1;1;2;;1;;;1;3;1;1;73;73;12.340024659742100
5301169;1;3;2;;1;;;1;3;1;1;73;73;14.230271132079000
5301175;1;1;1;1;;;;1;1;1;1;66;66;36.770804350931600
5301176;1;1;3;;;1;;;;;1;66;66;28.382248189806400
5301177;1;1;3;;;1;;;;;1;66;66;26.024565643477500
5301179;1;1;3;;;1;;;;;1;66;66;28.802857389994300
5301180;1;1;4;;;;2;1;;1;1;66;66;33.960227778678800
5301182;1;2;1;1;;;;1;1;1;1;66;66;25.095972707302300
5301183;1;2;1;1;;;;1;3;1;1;66;66;35.336704929131500
5301185;1;2;1;1;;;;1;3;1;1;66;66;36.952754240747100
5301188;1;1;1;1;;;;1;1;2;1;66;66;38.268920540846700
5301188;1;2;1;1;;;;1;1;1;1;66;66;38.268920540846700
5301189;1;1;1;1;;;;1;1;2;1;66;66;16.597959342190900
5301193;1;4;6;;;;;;;;1;66;66;30.134355861486000
5301194;1;1;3;;;1;;;;;1;66;66;32.871507076658600
5301197;1;1;6;;;;;;;;1;66;66;37.776004271832000
5301198;1;1;2;;1;;;1;3;1;1;66;66;31.115163098668900
5301198;1;4;3;;;1;;;;;1;66;66;31.115163098668900
5301199;1;1;5;;;;;1;3;1;1;66;66;33.387131547470600
5301200;1;2;1;2;;;;1;3;1;1;66;66;26.644622517262900
5301201;1;1;6;;;;;;;;1;66;66;31.987495473182500
5301202;1;1;4;;;;2;1;;1;1;66;66;38.022641660330800
5301203;1;4;8;;;;;;;;1;66;66;28.482896649011500
5301204;1;1;1;1;;;;1;1;2;1;66;66;24.663521320120500
5301204;1;4;4;;;;1;;;;1;66;66;24.663521320120500
5301205;1;1;3;;;1;;;;;1;66;66;30.346931076048500
